Weather,Temperature,Wind,PlayTennis
Rainy,Cool,Strong,No
Overcast,Cool,Weak,Yes
Sunny,Cool,Strong,No
Rainy,Hot,Weak,No
Rainy,Mild,Strong,Yes
Sunny,Hot,Weak,Yes
Rainy,Cool,Weak,No
Sunny,Hot,Strong,No
Overcast,Mild,Weak,Yes
Overcast,Cool,Weak,Yes
Overcast,Cool,Weak,Yes
Sunny,Cool,Weak,Yes
Sunny,Mild,Weak,Yes
Overcast,Mild,Strong,Yes
Sunny,Hot,Strong,No
Sunny,Hot,Weak,Yes
Rainy,Hot,Weak,No
Sunny,Hot,Strong,No
Rainy,Hot,Weak,No
Sunny,Mild,Weak,Yes
Overcast,Mild,Strong,Yes
Overcast,Hot,Weak,Yes
Overcast,Mild,Strong,Yes
Rainy,Mild,Strong,Yes
Overcast,Mild,Weak,Yes
Sunny,Cool,Weak,Yes
Sunny,Mild,Weak,Yes
Rainy,Cool,Strong,No
Sunny,Mild,Strong,No
Overcast,Hot,Strong,Yes
Sunny,Hot,Weak,Yes
Rainy,Hot,Weak,No
Rainy,Mild,Weak,Yes
Rainy,Mild,Weak,Yes
Rainy,Cool,Strong,No
Overcast,Hot,Weak,Yes
Overcast,Mild,Weak,Yes
Overcast,Mild,Strong,Yes
Sunny,Mild,Weak,Yes
Rainy,Mild,Weak,Yes
Overcast,Mild,Strong,Yes
Overcast,Cool,Strong,Yes
Rainy,Hot,Weak,No
Overcast,Cool,Weak,Yes
Overcast,Mild,Weak,Yes
Sunny,Hot,Weak,Yes
Sunny,Hot,Strong,No
Rainy,Cool,Strong,No
Sunny,Mild,Weak,Yes
Rainy,Hot,Strong,No
Rainy,Mild,Strong,Yes
Rainy,Mild,Weak,Yes
Rainy,Hot,Strong,No
Sunny,Hot,Strong,No
Overcast,Mild,Strong,Yes
Rainy,Hot,Strong,No
Sunny,Mild,Weak,Yes
Rainy,Mild,Weak,Yes
Overcast,Hot,Weak,Yes
Sunny,Mild,Weak,Yes
Rainy,Cool,Strong,No
Rainy,Hot,Strong,No
Rainy,Cool,Strong,No
Sunny,Hot,Strong,No
Rainy,Hot,Weak,No
Overcast,Mild,Strong,Yes
Overcast,Cool,Weak,Yes
Sunny,Hot,Strong,No
Overcast,Mild,Weak,Yes
Sunny,Cool,Strong,No
Rainy,Mild,Strong,Yes
Overcast,Mild,Weak,Yes
Sunny,Mild,Strong,No
Rainy,Hot,Strong,No
Sunny,Cool,Weak,Yes
Sunny,Cool,Weak,Yes
Overcast,Mild,Weak,Yes
Overcast,Cool,Strong,Yes
Sunny,Mild,Weak,Yes
Overcast,Cool,Weak,Yes
Sunny,Mild,Strong,No
Overcast,Mild,Weak,Yes
Sunny,Hot,Weak,Yes
Overcast,Hot,Strong,Yes
Overcast,Mild,Strong,Yes
Sunny,Cool,Strong,No
Rainy,Cool,Weak,No
Rainy,Cool,Weak,No
Overcast,Cool,Weak,Yes
Overcast,Cool,Weak,Yes
Sunny,Mild,Strong,No
Rainy,Mild,Strong,Yes
Rainy,Cool,Weak,No
Overcast,Hot,Strong,Yes
Rainy,Mild,Strong,Yes
Sunny,Hot,Strong,No
Sunny,Cool,Weak,Yes
Overcast,Mild,Strong,Yes
Overcast,Cool,Weak,Yes
Overcast,Hot,Strong,Yes
